ESTU_SNIES_PRGMACADEMICO,GRUPOREFERENCIA
1,CIENCIAS AGROPECUARIAS 
2,CIENCIAS AGROPECUARIAS 
3,CIENCIAS AGROPECUARIAS 
4,BELLAS ARTES Y DISEÑO
5,BELLAS ARTES Y DISEÑO
6,BELLAS ARTES Y DISEÑO
7,ENFERMERÍA
8,SALUD
9,MEDICINA
10,SALUD
11,SALUD
12,SALUD
13,CIENCIAS SOCIALES
14,PSICOLOGÍA
15,CIENCIAS SOCIALES
16,CIENCIAS SOCIALES
17,DERECHO
18,ECONOMÍA
19,ADMINISTRACIÓN Y AFINES
20,HUMANIDADES
21,HUMANIDADES
22,HUMANIDADES
23,HUMANIDADES
24,INGENIERÍA
25,INGENIERÍA
26,INGENIERÍA
27,INGENIERÍA
28,INGENIERÍA
29,INGENIERÍA
30,ARQUITECTURA Y URBANISMO 
31,CIENCIAS NATURALES Y EXACTAS
32,CIENCIAS NATURALES Y EXACTAS
33,CIENCIAS NATURALES Y EXACTAS
34,CIENCIAS NATURALES Y EXACTAS
35,CIENCIAS NATURALES Y EXACTAS
36,CIENCIAS NATURALES Y EXACTAS
37,SALUD
113,CIENCIAS AGROPECUARIAS 
114,ECONOMÍA
115,HUMANIDADES
116,INGENIERÍA
117,INGENIERÍA
118,INGENIERÍA
119,INGENIERÍA
120,INGENIERÍA
121,INGENIERÍA
122,INGENIERÍA
123,INGENIERÍA
124,INGENIERÍA
125,ADMINISTRACIÓN Y AFINES
126,CIENCIAS NATURALES Y EXACTAS
127,ARQUITECTURA Y URBANISMO 
128,ARQUITECTURA Y URBANISMO 
129,CIENCIAS NATURALES Y EXACTAS
143,CIENCIAS AGROPECUARIAS 
144,INGENIERÍA
146,EDUCACIÓN
147,EDUCACIÓN
149,EDUCACIÓN
150,EDUCACIÓN
151,EDUCACIÓN
153,EDUCACIÓN
154,EDUCACIÓN
155,EDUCACIÓN
156,EDUCACIÓN
157,EDUCACIÓN
158,EDUCACIÓN
159,EDUCACIÓN
175,EDUCACIÓN
176,EDUCACIÓN
177,EDUCACIÓN
178,EDUCACIÓN
180,EDUCACIÓN
181,EDUCACIÓN
182,EDUCACIÓN
188,ENFERMERÍA
189,ECONOMÍA
190,ADMINISTRACIÓN Y AFINES
191,INGENIERÍA
192,INGENIERÍA
193,INGENIERÍA
208,EDUCACIÓN
210,CIENCIAS AGROPECUARIAS 
212,ADMINISTRACIÓN Y AFINES
213,INGENIERÍA
215,INGENIERÍA
216,INGENIERÍA
217,INGENIERÍA
218,CIENCIAS NATURALES Y EXACTAS
219,EDUCACIÓN
224,BELLAS ARTES Y DISEÑO
225,EDUCACIÓN
229,EDUCACIÓN
230,ENFERMERÍA
232,CIENCIAS SOCIALES
233,DERECHO
234,ADMINISTRACIÓN Y AFINES
235,CONTADURÍA Y AFINES
236,INGENIERÍA
238,INGENIERÍA
263,EDUCACIÓN
266,EDUCACIÓN
267,MEDICINA
268,RECREACIÓN Y DEPORTES
269,INGENIERÍA
270,INGENIERÍA
271,INGENIERÍA
272,INGENIERÍA
273,ADMINISTRACIÓN Y AFINES
281,CIENCIAS AGROPECUARIAS 
282,BELLAS ARTES Y DISEÑO
283,BELLAS ARTES Y DISEÑO
284,EDUCACIÓN
288,EDUCACIÓN
289,EDUCACIÓN
290,ENFERMERÍA
291,MEDICINA
292,CIENCIAS SOCIALES
293,CIENCIAS SOCIALES
294,DERECHO
295,HUMANIDADES
296,CIENCIAS NATURALES Y EXACTAS
320,CIENCIAS AGROPECUARIAS 
321,EDUCACIÓN
325,ENFERMERÍA
326,INGENIERÍA
327,CIENCIAS AGROPECUARIAS 
337,ENFERMERÍA
338,MEDICINA
340,CONTADURÍA Y AFINES
341,INGENIERÍA
342,INGENIERÍA
343,BELLAS ARTES Y DISEÑO
347,CIENCIAS AGROPECUARIAS 
351,EDUCACIÓN
352,ADMINISTRACIÓN Y AFINES
354,ADMINISTRACIÓN Y AFINES
361,DERECHO
362,ECONOMÍA
363,ADMINISTRACIÓN Y AFINES
364,CONTADURÍA Y AFINES
365,INGENIERÍA
403,CIENCIAS AGROPECUARIAS 
404,CIENCIAS AGROPECUARIAS 
405,BELLAS ARTES Y DISEÑO
406,BELLAS ARTES Y DISEÑO
407,BELLAS ARTES Y DISEÑO
408,BELLAS ARTES Y DISEÑO
412,EDUCACIÓN
413,EDUCACIÓN
